,0
1.0,0
3.0,1
0.0,2
1.0,3
3.0,4
1.0,5
0.0,6
0.0,7
1.0,8
0.0,9
3.0,10
3.0,11
0.0,12
3.0,13
3.0,14
0.0,15
1.0,16
1.0,17
3.0,18
1.0,19
1.0,20
2.0,21
2.0,22
2.0,23
3.0,24
1.0,25
1.0,26
2.0,27
0.0,28
2.0,29
1.0,30
2.0,31
0.0,32
2.0,33
5.0,34
3.0,35
3.0,36
0.0,37
0.0,38
0.0,39
2.0,40
2.0,41
3.0,42
0.0,43
1.0,44
3.0,45
2.0,46
2.0,47
0.0,48
0.0,49
3.0,50
0.0,51
1.0,52
1.0,53
3.0,54
2.0,55
2.0,56
1.0,57
0.0,58
0.0,59
0.0,60
3.0,61
3.0,62
2.0,63
0.0,64
1.0,65
2.0,66
2.0,67
0.0,68
0.0,69
4.0,70
0.0,71
1.0,72
1.0,73
1.0,74
0.0,75
4.0,76
0.0,77
2.0,78
1.0,79
0.0,80
2.0,81
1.0,82
2.0,83
0.0,84
2.0,85
1.0,86
0.0,87
2.0,88
2.0,89
1.0,90
1.0,91
0.0,92
3.0,93
1.0,94
0.0,95
3.0,96
0.0,97
0.0,98
0.0,99
0.0,100
0.0,101
1.0,102
0.0,103
0.0,104
5.0,105
0.0,106
0.0,107
0.0,108
0.0,109
1.0,110
4.0,111
2.0,112
0.0,113
1.0,114
6.0,115
1.0,116
0.0,117
7.0,118
2.0,119
3.0,120
6.0,121
0.0,122
3.0,123
1.0,124
0.0,125
3.0,126
2.0,127
3.0,128
1.0,129
1.0,130
3.0,131
0.0,132
0.0,133
1.0,134
2.0,135
0.0,136
3.0,137
0.0,138
1.0,139
1.0,140
3.0,141
3.0,142
1.0,143
0.0,144
1.0,145
2.0,146
1.0,147
0.0,148
0.0,149
1.0,150
4.0,151
1.0,152
3.0,153
0.0,154
0.0,155
3.0,156
0.0,157
0.0,158
2.0,159
0.0,160
1.0,161
2.0,162
3.0,163
1.0,164
0.0,165
0.0,166
0.0,167
3.0,168
0.0,169
3.0,170
2.0,171
4.0,172
3.0,173
2.0,174
0.0,175
0.0,176
0.0,177
2.0,178
0.0,179
0.0,180
1.0,181
2.0,182
0.0,183
1.0,184
1.0,185
1.0,186
1.0,187
0.0,188
1.0,189
1.0,190
0.0,191
0.0,192
0.0,193
2.0,194
0.0,195
2.0,196
2.0,197
2.0,198
2.0,199
2.0,200
0.0,201
0.0,202
1.0,203
2.0,204
0.0,205
0.0,206
2.0,207
1.0,208
1.0,209
1.0,210
0.0,211
0.0,212
6.0,213
1.0,214
3.0,215
2.0,216
2.0,217
1.0,218
0.0,219
0.0,220
2.0,221
1.0,222
2.0,223
2.0,224
2.0,225
1.0,226
3.0,227
3.0,228
0.0,229
0.0,230
2.0,231
1.0,232
1.0,233
0.0,234
1.0,235
0.0,236
1.0,237
0.0,238
1.0,239
1.0,240
2.0,241
1.0,242
2.0,243
1.0,244
0.0,245
1.0,246
2.0,247
1.0,248
0.0,249
2.0,250
3.0,251
2.0,252
2.0,253
1.0,254
0.0,255
2.0,256
0.0,257
0.0,258
0.0,259
2.0,260
0.0,261
2.0,262
2.0,263
3.0,264
0.0,265
0.0,266
1.0,267
3.0,268
2.0,269
2.0,270
0.0,271
4.0,272
3.0,273
1.0,274
0.0,275
0.0,276
3.0,277
0.0,278
3.0,279
0.0,280
0.0,281
0.0,282
0.0,283
0.0,284
3.0,285
0.0,286
0.0,287
3.0,288
3.0,289
1.0,290
2.0,291
1.0,292
0.0,293
0.0,294
4.0,295
0.0,296
1.0,297
3.0,298
0.0,299
4.0,300
3.0,301
1.0,302
3.0,303
1.0,304
4.0,305
0.0,306
0.0,307
0.0,308
0.0,309
3.0,310
2.0,311
3.0,312
1.0,313
0.0,314
1.0,315
0.0,316
3.0,317
0.0,318
0.0,319
0.0,320
0.0,321
2.0,322
0.0,323
1.0,324
0.0,325
2.0,326
2.0,327
1.0,328
0.0,329
0.0,330
0.0,331
1.0,332
0.0,333
0.0,334
0.0,335
1.0,336
0.0,337
0.0,338
1.0,339
0.0,340
0.0,341
4.0,342
0.0,343
2.0,344
0.0,345
2.0,346
1.0,347
1.0,348
1.0,349
1.0,350
0.0,351
0.0,352
2.0,353
0.0,354
1.0,355
0.0,356
0.0,357
0.0,358
0.0,359
0.0,360
3.0,361
0.0,362
0.0,363
0.0,364
2.0,365
2.0,366
1.0,367
1.0,368
1.0,369
0.0,370
1.0,371
4.0,372
0.0,373
2.0,374
0.0,375
1.0,376
1.0,377
0.0,378
3.0,379
3.0,380
1.0,381
2.0,382
1.0,383
0.0,384
2.0,385
2.0,386
1.0,387
2.0,388
1.0,389
1.0,390
1.0,391
1.0,392
1.0,393
1.0,394
2.0,395
0.0,396
1.0,397
3.0,398
2.0,399
1.0,400
0.0,401
3.0,402
1.0,403
1.0,404
1.0,405
3.0,406
0.0,407
0.0,408
1.0,409
0.0,410
3.0,411
1.0,412
0.0,413
0.0,414
1.0,415
1.0,416
3.0,417
0.0,418
1.0,419
0.0,420
1.0,421
2.0,422
0.0,423
1.0,424
0.0,425
2.0,426
2.0,427
1.0,428
0.0,429
3.0,430
1.0,431
1.0,432
0.0,433
3.0,434
2.0,435
1.0,436
3.0,437
2.0,438
7.0,439
1.0,440
3.0,441
2.0,442
3.0,443
1.0,444
0.0,445
1.0,446
1.0,447
0.0,448
3.0,449
2.0,450
2.0,451
1.0,452
0.0,453
1.0,454
5.0,455
4.0,456
1.0,457
4.0,458
1.0,459
0.0,460
3.0,461
2.0,462
1.0,463
3.0,464
1.0,465
0.0,466
0.0,467
0.0,468
1.0,469
3.0,470
1.0,471
2.0,472
3.0,473
0.0,474
0.0,475
0.0,476
1.0,477
0.0,478
0.0,479
1.0,480
6.0,481
2.0,482
1.0,483
1.0,484
6.0,485
2.0,486
2.0,487
2.0,488
3.0,489
2.0,490
1.0,491
1.0,492
1.0,493
2.0,494
2.0,495
3.0,496
1.0,497
0.0,498
2.0,499
0.0,500
2.0,501
4.0,502
1.0,503
0.0,504
0.0,505
0.0,506
0.0,507
0.0,508
3.0,509
3.0,510
0.0,511
1.0,512
0.0,513
0.0,514
1.0,515
2.0,516
0.0,517
0.0,518
2.0,519
0.0,520
0.0,521
0.0,522
2.0,523
1.0,524
1.0,525
2.0,526
2.0,527
1.0,528
0.0,529
1.0,530
1.0,531
1.0,532
6.0,533
2.0,534
2.0,535
0.0,536
1.0,537
3.0,538
2.0,539
2.0,540
0.0,541
1.0,542
2.0,543
2.0,544
4.0,545
0.0,546
1.0,547
0.0,548
2.0,549
0.0,550
1.0,551
3.0,552
2.0,553
0.0,554
1.0,555
1.0,556
2.0,557
0.0,558
0.0,559
2.0,560
0.0,561
1.0,562
1.0,563
0.0,564
2.0,565
3.0,566
1.0,567
1.0,568
4.0,569
0.0,570
1.0,571
0.0,572
1.0,573
0.0,574
3.0,575
4.0,576
2.0,577
0.0,578
0.0,579
0.0,580
0.0,581
4.0,582
1.0,583
1.0,584
1.0,585
0.0,586
1.0,587
0.0,588
0.0,589
1.0,590
2.0,591
2.0,592
1.0,593
1.0,594
1.0,595
0.0,596
0.0,597
5.0,598
1.0,599
1.0,600
1.0,601
1.0,602
2.0,603
3.0,604
3.0,605
3.0,606
2.0,607
0.0,608
0.0,609
0.0,610
0.0,611
1.0,612
2.0,613
0.0,614
4.0,615
2.0,616
0.0,617
2.0,618
0.0,619
4.0,620
0.0,621
2.0,622
2.0,623
0.0,624
0.0,625
3.0,626
0.0,627
0.0,628
5.0,629
1.0,630
1.0,631
1.0,632
1.0,633
2.0,634
3.0,635
1.0,636
0.0,637
0.0,638
0.0,639
2.0,640
4.0,641
1.0,642
1.0,643
1.0,644
0.0,645
2.0,646
0.0,647
1.0,648
0.0,649
1.0,650
1.0,651
5.0,652
0.0,653
1.0,654
0.0,655
3.0,656
2.0,657
0.0,658
2.0,659
0.0,660
2.0,661
3.0,662
1.0,663
3.0,664
1.0,665
1.0,666
0.0,667
2.0,668
2.0,669
2.0,670
2.0,671
2.0,672
2.0,673
4.0,674
4.0,675
3.0,676
0.0,677
1.0,678
2.0,679
1.0,680
0.0,681
1.0,682
4.0,683
0.0,684
1.0,685
2.0,686
3.0,687
0.0,688
2.0,689
4.0,690
3.0,691
2.0,692
0.0,693
4.0,694
2.0,695
2.0,696
3.0,697
1.0,698
2.0,699
1.0,700
2.0,701
3.0,702
0.0,703
1.0,704
3.0,705
3.0,706
1.0,707
0.0,708
1.0,709
3.0,710
0.0,711
3.0,712
1.0,713
0.0,714
0.0,715
2.0,716
1.0,717
2.0,718
3.0,719
1.0,720
0.0,721
0.0,722
3.0,723
2.0,724
0.0,725
1.0,726
0.0,727
1.0,728
0.0,729
0.0,730
0.0,731
1.0,732
2.0,733
2.0,734
0.0,735
2.0,736
2.0,737
1.0,738
1.0,739
3.0,740
3.0,741
3.0,742
2.0,743
0.0,744
3.0,745
1.0,746
1.0,747
2.0,748
1.0,749
2.0,750
2.0,751
0.0,752
1.0,753
1.0,754
1.0,755
1.0,756
2.0,757
1.0,758
0.0,759
1.0,760
3.0,761
0.0,762
0.0,763
1.0,764
0.0,765
0.0,766
3.0,767
1.0,768
1.0,769
3.0,770
4.0,771
1.0,772
1.0,773
2.0,774
1.0,775
4.0,776
1.0,777
1.0,778
3.0,779
3.0,780
1.0,781
0.0,782
1.0,783
0.0,784
0.0,785
0.0,786
1.0,787
0.0,788
1.0,789
0.0,790
0.0,791
1.0,792
0.0,793
0.0,794
1.0,795
2.0,796
0.0,797
3.0,798
4.0,799
2.0,800
4.0,801
0.0,802
1.0,803
1.0,804
5.0,805
7.0,806
1.0,807
2.0,808
0.0,809
1.0,810
1.0,811
0.0,812
1.0,813
1.0,814
2.0,815
0.0,816
0.0,817
2.0,818
2.0,819
0.0,820
1.0,821
0.0,822
0.0,823
1.0,824
1.0,825
1.0,826
1.0,827
2.0,828
0.0,829
2.0,830
0.0,831
1.0,832
1.0,833
1.0,834
1.0,835
2.0,836
2.0,837
6.0,838
2.0,839
0.0,840
0.0,841
2.0,842
0.0,843
0.0,844
2.0,845
2.0,846
3.0,847
4.0,848
0.0,849
2.0,850
2.0,851
3.0,852
0.0,853
2.0,854
1.0,855
1.0,856
0.0,857
4.0,858
3.0,859
1.0,860
3.0,861
0.0,862
2.0,863
0.0,864
2.0,865
0.0,866
2.0,867
0.0,868
0.0,869
2.0,870
1.0,871
0.0,872
1.0,873
0.0,874
0.0,875
0.0,876
2.0,877
0.0,878
2.0,879
2.0,880
0.0,881
2.0,882
1.0,883
0.0,884
2.0,885
3.0,886
2.0,887
0.0,888
0.0,889
2.0,890
0.0,891
2.0,892
1.0,893
1.0,894
1.0,895
1.0,896
0.0,897
4.0,898
1.0,899
0.0,900
2.0,901
0.0,902
0.0,903
3.0,904
0.0,905
1.0,906
0.0,907
3.0,908
0.0,909
1.0,910
2.0,911
0.0,912
0.0,913
1.0,914
0.0,915
1.0,916
1.0,917
1.0,918
2.0,919
1.0,920
2.0,921
0.0,922
1.0,923
0.0,924
0.0,925
2.0,926
0.0,927
3.0,928
3.0,929
1.0,930
1.0,931
0.0,932
1.0,933
3.0,934
1.0,935
1.0,936
1.0,937
3.0,938
2.0,939
1.0,940
3.0,941
1.0,942
0.0,943
0.0,944
2.0,945
1.0,946
2.0,947
2.0,948
0.0,949
0.0,950
3.0,951
0.0,952
0.0,953
0.0,954
1.0,955
1.0,956
1.0,957
2.0,958
0.0,959
1.0,960
1.0,961
0.0,962
1.0,963
0.0,964
1.0,965
1.0,966
0.0,967
0.0,968
0.0,969
2.0,970
1.0,971
1.0,972
1.0,973
1.0,974
2.0,975
1.0,976
1.0,977
2.0,978
